ExternalSystem,EnvName,URL
ENIGMA,DV1,https://engdv1app01.dev.ibu.geico.net:4086
ENIGMA,IN1,http://172.18.34.66:9086/geico_enigma/onetmatch
ENIGMA,UT1,http://172.18.42.69:9086/geico_enigma/onetmatch
ENIGMA,LT1,
ENIGMA,FT1,
ENIGMA,TR1,
ENIGMA,PD1,
,,
,,
UMBRELLA,DV1, http://GZDV-APP120.dev.geicoddc.net:8702/policyapi/v1/
UMBRELLA,IN1,
UMBRELLA,UT1,
UMBRELLA,LT1,
UMBRELLA,FT1,
UMBRELLA,TR1,
UMBRELLA,PD1,
,,
,,
LISA,DV1,https://np-lisa-dv1.geicoddc.net
LISA,IN1,https://np-lisa-in1.geicoddc.net
LISA,UT1,https://np-lisa-ut1.geico.net
LISA,LT1,
LISA,FT1,
LISA,TR1,
LISA,PD1,
